Nome;Localização;bairro;funcionamento;Opcao;Latitude;Longitude
RioMar Shopping;av. República do Líbano, 251;Pina;Segunda a sábado das 9h às 22h e domingos das 12h às 21h;Shoppings;-8,086147;-34,893588
Shopping Recife;R. Padre Carapuceiro, 777 ;Boa Viagem;Segunda a sábado das 10h às 22h e domingos das 12h às 21h;Shoppings;-8,119903;-34,90451
Paço Alfândega;Rua da Alfândega, 35;Recife;Segunda a sábado das 10h às 22h e domingos das 12h às 21h;Shoppings;-8,064945;-34,874136
Shopping Boa Vista;: R. do Giriquiti, 48;Boa Vista;Segunda a sábado das 9h às 21h e domingos das 11h às 19h;Shoppings;-8,059341;-34,886984
Shopping Tacaruna;Av. Agamenon Magalhães, 153;Santo Amaro;Segunda a sábado das 9h às 22h e domingos das 12h às 20h;Shoppings;-8,037601;-34,87224
Plaza Casa Forte;R. Dr. João Santos Filho, 255;Casa Forte;Segunda a sábado das 10h às 22h e domingos das 12h às 20h;Shoppings;-8,036799;-34,912778
Executive Trade Cemter;Av. Cons. Rosa e Silva 1460;Jaqueira ;Segunda a sábado das 09h às 22h e domingos das 12h às 20h;Shoppings;-8,0389277;-34,9019022
Feira Dom Vital;Praça Dom Vital;Sao Jose;Quinta a sábado das 6h às 18h;Feiras popular;-8,06785;-34,878208
Feira Água Fria;Rua Uzeda Luna;Agua Fria;Todos os dias das 6h às 18h;Feiras popular;-8,018861;-34,895011
Feira de Beberibe;Praça da Convenção;Beberibe;Todos os dias das 6h às 18h;Feiras popular;-8,037481;-34,891785
Feira Arruda;Rua Ramis Galvão;Arruda;Quinta a sábado das 6h às 18h;Feiras popular;-8,025208;-34,893689
Feira Encruzilhada;Largo da Encruzilhada;Encruzilhada;Segundas e terças das 6h às 18h;Feiras popular;-8,036735;-34,891921
Feira Alto do Deodato;Rua Alto do Deodato;Agua Fria;Domingo das 6h às 12h ;Feiras popular;-8,012372;-34,89941
Feira Casa Amarela;Largo de Casa Amarela;Casa Amarela;Todos os dias das 6h às 18h;Feiras popular;-8,026202;-34,917926
Feira Nova Descoberta;Av. Nova Descoberta;Nova Descoberta;Todos os dias das 6h às 18h;Feiras popular;-8,000821;-34,923073
Feira Bomba Grande;Rua Inácio Monteiro;Cordeiro;Quarta e quinta das 6h às 18h;Feiras popular;-8,047332;-34,931098
Feira do Cordeiro;Pátio do Mercado do Cordeiro;Cordeiro;Quinta a sábado das 6h às 20h;Feiras popular;-8,052208;-34,921784
Feira da Várzea;Rua Azevedo Coutinho;Varzea;Quinta a sábado das 6h às 20h;Feiras popular;-8,049637;-34,960032
Feira do Engenho do Meio;Rua Gov. Lupo Garro;Engenho do Meio;Sábados e domingos das 06h às 17h;Feiras popular;-8,056383;-34,943758
Feira de Areias;Rua Barros Sobrinho;Areias;Sexta e sábado das 6h às 18h;Feiras popular;-8,088718;-34,934379
Feira da Mustardinha;Av. Manoel Gonçalves da Luz;Mustardinha;Todos os dias das 6h às 18h;Feiras popular;-8,071074;-34,918055
Feira de Afogados;Estrada dos Remédios. s/n;Afogados;Todos os dias das 6h às 20h;Feiras popular;-8,077787;-34,90709
Feira do Jordão;Rua Alberto Lundgren;Jordao;Todos os dias das 6h às 18h;Feiras popular;-8,137061;-34,937023
Feira do Ibura UR – 01;Av. Pernambuco;Ibura;Todos os dias das 06h às 18h;Feiras popular;-8,118719;-34,946475
Mercado de São José;Não informado;São Jose;Não informado;Mercados Públicos;-8,06806;-34,87775
Mercado da Boa Vista;Não informado;Boa Vista;Não informado;Mercados Públicos;-8,063192;-34,888654
Mercado da Madalena;Não informado;Madalena;Não informado;Mercados Públicos;-8,052439;-34,908554
Mercado da Encruzilhada;Não informado;Encruzilhada;Não informado;Mercados Públicos;-8,036873;-34,892434
Mercado de Casa Amarela;Não informado;Casa Amarela;Não informado;Mercados Públicos;-8,026599;-34,917882
Mercado do Cordeiro ;Não informado;Cordeiro;Não informado;Mercados Públicos;-8,051698;-34,921372
